"Prednasejici","Nazev","Bio","Anotace","Url","YouTube"
"Pavel Lahoda","🎤 Když pravá ruka neví, co dělá ta levá","www.actiwerks.com","<p>Pavel Lahoda ve své přednášce &quot;jOpenSpace 2025&quot; zkoumá fascinující svět distribuovaných a serverless systémů, přičemž se zaměřuje na inovativní produkt založený na blockchainu, který využívá umělou inteligenci. Představuje koncept, kdy uživatelé mohou interagovat s AI prostřednictvím konverzačního rozhraní, což umožňuje automatizaci a nasazení aplikací bez nutnosti hlubokých technických znalostí. Dále se věnuje problematice ochrany dat v souvislosti s privátními výpočty, kde zdůrazňuje, že je možné provádět výpočty na šifrovaných datech, aniž by server znal jejich obsah. Tento přístup, známý jako homomorfní šifrování, přináší nové možnosti pro bezpečné zpracování citlivých informací. Lahoda také ukazuje praktické příklady a knihovny, které usnadňují implementaci těchto technologií. Jeho prezentace je nejen informativní, ale také inspirativní pro všechny, kteří se zajímají o budoucnost technologií a jejich aplikaci v reálném světě. Publikum má možnost se zapojit do diskuse a klást dotazy, což přispívá k interaktivnímu charakteru přednášky.</p>
","https://www.actiwerks.com/presentations/HomomorphicEncryption.pdf","https://www.youtube.com/watch?v=uM-KHrJ43cM"
"Marian Schubert","🎤 Event Sourcing",,"<p>Marian Schubert ve své přednášce představuje koncept event sourcingu, který se stal klíčovým prvkem ve vývoji backendových systémů jeho týmu a celé firmy. Vysvětluje, jak event sourcing mění způsob, jakým se ukládá stav aplikace, a to prostřednictvím doménových eventů, které reflektují byznys logiku. Přednáška se zaměřuje na výhody této metodologie, jako je lepší komunikace s byznysem, snadnější rozšiřitelnost systému a efektivnější generování reportů. Marian také zdůrazňuje, že event sourcing umožňuje jednodušší správu databázových migrací a zjednodušuje proces přidávání nových funkcionalit. Díky oddělení zápisů a čtení dat se zvyšuje výkon a snižuje složitost dotazů. Přednáška rovněž ukazuje, jak event sourcing přispívá k auditnímu záznamu a usnadňuje debugování. Celkově Marianova prezentace nabízí cenné poznatky pro vývojáře, kteří zvažují implementaci event sourcingu ve svých projektech.</p>
","https://docs.google.com/presentation/d/1iskzWRg4N3dLp9iWLrXWqt7_GeYrRWu9w4msvO9Sd0A/edit?slide=id.p#slide=id.p ","https://www.youtube.com/watch?v=pp7WYOh0nIo"
"Milan Lempera","🎤 Switch to Event Sourcing",,"<p>Milan Lempera ve své přednášce &quot;jOpenSpace 2025 - Switch to Event Sourcing&quot; představuje přechod na event sourcing jako klíčový prvek pro zlepšení správy dat a analýzy v aplikacích. Hlavním cílem této změny je poskytnout lepší přehled o historii událostí, které vedly k aktuálnímu stavu systému, což usnadňuje diagnostiku problémů a zvyšuje transparentnost pro klienty. Milan zdůrazňuje, že přístup založený na event sourcingu vyžaduje změnu myšlení, kdy se programátoři zaměřují na události a operace místo statických stavů.</p>
<p>Přednáška se také zabývá praktickými aspekty implementace, jako je event modeling a vytváření živé dokumentace, která se automaticky aktualizuje s každou změnou. Milan ukazuje, jak tento přístup zjednodušuje testování a umožňuje lepší komunikaci mezi technickým týmem a zákazníky. Dále se věnuje principům jako single responsibility a dependency inversion, které přispívají k modularitě a udržovatelnosti kódu.</p>
<p>Celkově přednáška nabízí cenné poznatky pro vývojáře, kteří chtějí zlepšit své systémy a přizpůsobit se moderním trendům v programování, a ukazuje, jak může event sourcing přinést významné výhody v oblasti správy dat a efektivity vývoje.</p>
","https://docs.google.com/presentation/d/1vrWq4I1eDehxUYT2vJzd90yOBvb0GH6lFhxnh7ZybgY/edit?slide=id.p#slide=id.p ","https://www.youtube.com/watch?v=Mwbim_QE52U"
"Jan Vondrouš","🎤 Jízda na spotřebu",,"<p>Jan Vondrouš z firmy Eleveo ve své přednášce &quot;Jízda na spotřebu&quot; přináší fascinující pohled na efektivitu spalovacích motorů. Cílem jeho prezentace je sdílet osobní zkušenosti a praktické rady, jak optimalizovat spotřebu paliva při jízdě. V úvodu se účastníci zapojují do interaktivní úlohy, která ilustruje vliv různých jízdních technik na spotřebu. Vondrouš zdůrazňuje, že motor dosahuje nejlepší efektivity při plném nebo téměř plném zatížení v oblasti maximálního točivého momentu. Dále varuje před nevhodnými praktikami, jako je přílišné podtáčení motoru, které může vést k neefektivní jízdě a potenciálnímu poškození vozidla. Prezentace také upozorňuje na důležitost zahřívání motoru a správného řazení. V závěru Vondrouš shrnuje klíčové rady a vyzdvihuje jízdu na spotřebu jako zajímavou disciplínu, která může obohatit každodenní řízení. Tato přednáška je skvělou příležitostí pro všechny, kdo chtějí zlepšit své dovednosti v oblasti úsporné jízdy.</p>
","https://bit.ly/4nzz7Sg","https://www.youtube.com/watch?v=mT5ZIV73msU"
"Pavel Kříž","🎤 ESPHome - DIY gadgety pro domácí automatizaci snadno a rychle","https://www.linkedin.com/in/pavel-kriz-cz/","<p>Pavel Kříž ve své přednášce představuje ESPHome, open source framework, který usnadňuje vytváření DIY gadgetů pro domácí automatizaci. Zaměřuje se na to, jak lze pomocí ESPHome programovat zařízení s mikrokontroléry ESP826 a ESP32, aniž by bylo nutné psát složitý kód. Přednášející ukazuje, jak lze snadno integrovat tato zařízení s Home Assistantem, což přináší výhody jako jednoduchou konfiguraci a možnost vzdáleného ovládání. Kříž se také věnuje praktickým příkladům, jako je kódový zámek pro garáž a měření hladiny vody v dešťové jímce, které demonstrují funkčnost a užitečnost ESPHome v reálném životě. Dále se zaměřuje na výhody a nevýhody použití hotových zařízení versus vývojových destiček. Přednáška je cenným zdrojem informací pro každého, kdo se zajímá o domácí automatizaci a hledá jednoduché a efektivní řešení. Křížova prezentace je inspirativní a motivuje k experimentování s vlastními projekty v oblasti IoT.</p>
","https://docs.google.com/presentation/d/1_gIeV3Yayd_yd0I7VBb5o6fDBwgqjD10fyieUisVUrg/edit?usp=sharing","https://www.youtube.com/watch?v=UnL7VSGZqnU"
"Tomucha","🎤 Váš první shader","https://fnx.io","<p>Tomucha ve své přednášce &quot;jOpenSpace 2025 - Váš první shader&quot; představuje fascinující svět shaderů, které hrají klíčovou roli v moderní grafice a herním designu. Cílem jeho prezentace je demystifikovat programování shaderů a ukázat, jak jednoduché matematické operace mohou vést k ohromujícím vizuálním efektům. Tomucha se vrací k historickému vývoji grafiky, od prvních 2D her až po pokročilé 3D prostředí, a vysvětluje, jak grafické karty umožnily revoluci v renderování. V průběhu přednášky se zaměřuje na praktické aspekty psaní shaderů v jazyce GLSL, přičemž ukazuje, jak lze pomocí jednoduchých příkladů vytvářet složité vizuální efekty. Dále se dotýká různých aplikací shaderů, od uměleckých projektů po post-processing techniky. Tomucha také zmiňuje, jak se shaderové programování stalo subkulturou, která přitahuje kreativce a techniky, a nabízí inspiraci pro další experimentování. Tato přednáška je skvělou příležitostí pro všechny, kteří chtějí proniknout do tajů grafického programování a objevovat nové možnosti v oblasti digitálního umění.</p>
","https://docs.google.com/presentation/d/1_k_a5E8ChJOP4pi_QMeZALAaT7QCg3k6Hqj6-Gswnlw/edit?slide=id.g38464b7e565_0_0#slide=id.g38464b7e565_0_0 ","https://www.youtube.com/watch?v=1-KYK7pvyUg"
"dond","🎤 Jak se plánuje doprava","dond.cz","<p>Dond ve své přednášce &quot;jOpenSpace 2025 - Jak se plánuje doprava&quot; představuje aktuální výzvy v oblasti plánování dopravy v České republice. Zaměřuje se na problém koordinace uzavírek silnic, které často vedou k neefektivnímu cestování a frustraci obyvatel. Vysvětluje, jak současná legislativa a procesy neumožňují efektivní sdílení informací mezi různými úřady, což komplikuje plánování a realizaci dopravních opatření. Dond představuje nový systém nazvaný Crédo, který má za cíl centralizovat data o dopravních omezeních a umožnit úřadům lépe koordinovat své aktivity. Tento systém by měl být dostupný uživatelům na různých úrovních veřejné správy a pomoci tak zlepšit průjezdnost silnic. Důraz je kladen na to, že efektivní fungování tohoto systému vyžaduje změnu legislativy, což je v současnosti v procesu. Přednáška ukazuje, jak moderní technologie a správné plánování mohou přispět k lepší dopravní infrastruktuře a pohodlnějšímu životu obyvatel. Dondova vize pro budoucnost dopravy je inspirativní a nabízí naději na zlepšení situace v oblasti dopravy v Česku.</p>
","https://docs.google.com/presentation/d/1Lnc1VZmC_yCS0myQd7eYpR3um5HdpwRAUPBwSV7u4_Y/edit?usp=sharing","https://www.youtube.com/watch?v=bcZoQQp9eV4"
"Miloš Havránek","🎤 Renesance pirátění","https://www.linkedin.com/in/miloshavranek/","<p>Miloš Havránek ve své přednášce &quot;Renesance pirátění&quot; zkoumá fenomén pirátění v roce 2025 a jeho příčiny. Upozorňuje na to, jak se mění legislativa a technologie, které omezují možnosti uživatelů vytvářet kopie obsahu pro osobní potřebu. Zatímco u her a hudby existují platformy, které nabízejí kvalitní uživatelskou zkušenost a snižují motivaci k pirátění, u filmů a seriálů se situace zhoršuje, což vede k nárůstu nelegálního stahování. Havránek také zmiňuje, že starší generace, jako důchodci, se stávají nečekanými aktéry v pirátském prostředí, zatímco mladší uživatelé hledají cenově dostupné alternativy. V závěru přednášky doporučuje divákům, aby si zálohovali oblíbený obsah a byli obezřetní při placení za digitální služby. Přednáška nabízí cenný pohled na aktuální trendy v oblasti digitálního obsahu a pirátění, což je téma, které se dotýká nás všech.</p>
","https://docs.google.com/presentation/d/1G3819kDuzcq-0tqje3yindOIFtZd3alqyOA_k_wKDOw/edit?usp=sharing","https://www.youtube.com/watch?v=HG7QAOAmDMc"
"Daniel Crha","🎤 Hiring is Hard!","https://www.linkedin.com/in/daniel-crha/","<p>Daniel Crha ve své přednášce &quot;Hiring is Hard!&quot; zkoumá složitosti a výzvy spojené s náborem programátorů. Zaměřuje se na to, jak správně identifikovat a přilákat talentované kandidáty, a to nejen prostřednictvím technických dovedností, ale také s ohledem na týmovou dynamiku a motivaci. Crha sdílí své zkušenosti a metody, které se mu osvědčily, včetně různých typů pohovorů, jako jsou live coding nebo code review, a zdůrazňuje důležitost angažovanosti kandidátů během pohovoru. Upozorňuje na to, že kvalitní kandidáti si vybírají, kde chtějí pracovat, a proto je klíčové, aby se cítili během pohovoru zaujatí a motivovaní. Dále se věnuje otázce podvádění při pohovorech, zejména s ohledem na využívání AI, a navrhuje, jak tomu čelit. Crha uzavírá s důrazem na to, že pokud si není jistý, zda kandidáta chce do týmu, neměl by ho najmout. Tato přednáška je cenným zdrojem pro všechny, kteří se zabývají náborem v technickém sektoru.</p>
","Hiring is Hard! - jOpenSpace 2025.pdf","https://www.youtube.com/watch?v=sYmo-AjDRsk"
"Tomáš Janečka","🎤 The future is vibe-coding",,"<p>Tomáš Janečka ve své přednášce &quot;The future is vibe-coding&quot; představuje koncept vibe codingu, který se zaměřuje na programování pomocí intuitivních nástrojů, které usnadňují tvorbu aplikací i lidem bez předchozích zkušeností s kódováním. Vysvětluje, jak se v poslední době rozšířily AI nástroje, které se dělí na ty pro zkušené programátory a ty pro nováčky. Janečka zdůrazňuje, že ačkoliv vibe coding nabízí rychlé prototypování, je důležité mít základní znalosti o architektuře a struktuře aplikací, aby se předešlo chaosu v kódu. Představuje několik užitečných nástrojů, jako je Vzero a Clot, které pomáhají při vývoji a dokumentaci projektů. Na závěr se zamýšlí nad budoucností vibe codingu, přičemž upozorňuje, že i když se technologie vyvíjejí, lidský faktor a odborné znalosti zůstávají nenahraditelné. Přednáška je inspirativní a nabízí praktické rady pro všechny, kteří chtějí využít moderní nástroje k realizaci svých nápadů.</p>
","https://docs.google.com/presentation/d/1cX-y_wwQJBrKBl4Fk9SuXiXLDtkgMdtQwX0sea0oIe4/edit?usp=sharing","https://www.youtube.com/watch?v=vlRuUtwfme8"
"Ivo Musil","🎤 Přibližné výpočty v dobách AI",,"<p>Ivo Musil ve své přednášce &quot;jOpenSpace 2025 - Přibližné výpočty v dobách AI&quot; zkoumá, jak umělá inteligence zvládá matematické úkoly a jak je důležité ověřovat její výsledky. Zaměřuje se na problematiku exaktních výpočtů a upozorňuje, že současné jazykové modely nejsou vždy spolehlivé při provádění jednoduchých aritmetických operací. Musil se vrací k základním principům přibližných výpočtů, které se vyučovaly před érou kalkulaček, a ukazuje, jak lze tyto techniky aplikovat i dnes. Představuje různé metody, jak ověřit správnost výsledků, a zdůrazňuje důležitost logického myšlení a cvičení v matematice. Dále se dotýká fascinujících konceptů, jako jsou logaritmy a narozeninový paradox, které ilustrují, jak lze pomocí přibližných výpočtů řešit složité problémy. Přednáška je výzvou k aktivnímu zapojení mysli při práci s čísly a varováním před slepým důvěřováním technologiím. Musilova prezentace je inspirativní a podněcuje k zamyšlení nad tím, jak efektivně využívat umělou inteligenci v kombinaci s lidským myšlením.</p>
","https://minily.org/jopenspace2025-ivoshm","https://www.youtube.com/watch?v=d3qj2-28TeA"
"Filip Sedllák","🎤 Rekonstrukce domu z první republiky","https://www.linkedin.com/in/filip-sedlak/","<p>Filip Sedlák ve své přednášce &quot;jOpenSpace 2025&quot; sdílí zkušenosti z rekonstrukce domu z první republiky, který zakoupil před pěti lety. Cílem jeho prezentace je poskytnout cenné rady a upozornit na úskalí, která mohou nastat během takového projektu. Sedllák popisuje, jak se potýkal s problémy jako vlhkost, praskání zdí a neefektivní spolupráce s architektem, což vedlo k časovým zpožděním a dodatečným nákladům. Zmiňuje důležitost důkladného plánování a přípravy, včetně správného výběru odborníků a realistického rozpočtu. Dále se zaměřuje na to, jak se vyhnout chybám při rozhodování o změnách v projektu a jak důležité je mít ambiciózní vizi, kterou lze postupně upravovat. Sedllák také porovnává rekonstrukci s novostavbou a zdůrazňuje výhody zachování historických prvků. Jeho sdělení je povzbudivé, neboť ukazuje, že i přes komplikace je možné dosáhnout uspokojivého výsledku a radosti z nového domova. Tato přednáška je inspirativním zdrojem pro každého, kdo zvažuje rekonstrukci či renovaci nemovitosti.</p>
","https://docs.google.com/presentation/d/1Tz-NWpJbeVC8LHxkpTAc0NHV8kY0rx9Ny9vroMVVdHc/edit?slide=id.g38906502ce2_0_63#slide=id.g38906502ce2_0_63","https://www.youtube.com/watch?v=hDIWlbDjcbc"
"Vojtěch Růžicka","🎤 Orchestrace AI agentu s autogen","www.vojtechruzicka.com","<p>Vojtěch Růžička ve své přednášce &quot;jOpenSpace 2025&quot; představuje inovativní přístup k orchestraci umělých inteligencí prostřednictvím systému více agentů. Tento model se odklání od tradičního použití jednoho velkého jazykového modelu (LLM) a místo toho využívá tým agentů, z nichž každý má specifické dovednosti a úkoly, což umožňuje efektivnější řešení složitějších problémů. Růžička zdůrazňuje výhody této metodologie, jako je flexibilita, škálovatelnost a transparentnost komunikace mezi agenty. V přednášce se také věnuje různým režimům orchestrace, od jednoduchých až po sofistikované, a ukazuje, jak lze tyto agenti koordinovat pomocí frameworku, jako je autogen od Microsoftu. V praktické části demonstruje, jak agenti spolupracují na tvorbě prezentace, přičemž každý agent plní svou roli v procesu od výzkumu až po generování finálního dokumentu. Tento přístup nejenže zefektivňuje práci, ale také zajišťuje kvalitu výstupu díky mechanismům verifikace. Růžička uzavírá přednášku s možností vyzkoušet si tento systém prostřednictvím uživatelsky přívětivého rozhraní Autogen Studio. Tato přednáška je inspirativním pohledem na budoucnost spolupráce AI agentů a jejich praktické aplikace.</p>
","https://docs.google.com/presentation/d/1ufyRBMFrCzOMf2s-DWDc7kbopfJnfdOKIJ0BJGNHia4/edit?slide=id.p1#slide=id.p1 ","https://www.youtube.com/watch?v=FxsIP2fnldY"
